"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"0.0%","1.8%","6.5%","100%","100%",4,2,9,6.5,"81.3%","14.3%","100%",346,642,15,6.8,"18.9%",496,"19.7%","19.5%",0.58,0.39
"Aatrox","Top",145,"4.7%","1.8%","6.5%","42%","65%",360,424,578,2.2,"56.2%","22.7%","4%",16,104,1.7,8.2,"25.4%",467,"23.2%","22.6%",0.37,0.2
"Ahri","Middle",699,"22.8%","19.5%","42.3%","51%","40%",2225,1285,4246,5,"70.4%","14.9%","9%",36,3,0.4,8.5,"25.4%",513,"25.2%","22.9%",0.53,0.32
"Akali","Middle",250,"8.2%","15.0%","25.4%","42%","68%",984,588,884,3.2,"63.3%","19.0%","7%",-108,22,-2.8,8.2,"24.7%",480,"24.2%","23.2%",0.26,0.21
"Akali","Top",71,"2.3%","15.0%","25.4%","54%","66%",294,209,267,2.7,"54.3%","24.4%","13%",-65,93,-5.1,7.7,"23.0%",461,"24.4%","21.9%",0.32,0.17
"Akshan","Top",12,"0.4%","0.6%","0.9%","50%","75%",32,35,41,2.1,"54.5%","21.9%","25%",160,120,7.3,8.2,"22.5%",427,"23.3%","23.0%",0.38,0.23
"Alistar","Support",254,"8.3%","5.9%","14.2%","47%","71%",141,874,2174,2.6,"70.6%","26.0%","14%",10,14,0.1,1,"2.0%",123,"6.1%","8.6%",1.71,0.29
"Amumu","Jungle",6,"0.2%","1.5%","4.2%","83%","100%",12,19,55,3.5,"74.4%","29.7%","50%",212,144,1.4,5.8,"17.5%",337,"15.7%","17.6%",0.24,0.36
"Amumu","Support",77,"2.5%","1.5%","4.2%","44%","70%",54,314,663,2.3,"69.5%","28.3%","25%",-138,-92,-3.9,1.1,"2.7%",170,"8.5%","8.6%",1.67,0.27
"Anivia","Middle",3,"0.1%","0.0%","0.2%","33%","100%",17,6,16,5.5,"76.7%","13.3%","33%",258,387,9,9,"29.3%",587,"25.1%","25.8%",0.41,0.17
"Anivia","Top",1,"0.0%","0.0%","0.2%","0%","100%",0,3,3,1,"75.0%","25.0%","-","-","-","-",6.8,"-",585,"39.4%","18.6%",0.45,0
"Annie","Middle",286,"9.3%","13.8%","25.1%","51%","39%",688,719,1912,3.6,"71.2%","20.8%","5%",28,13,0.5,7.5,"20.3%",541,"25.8%","21.2%",0.32,0.21
